N,P,K,humidity,ph,temperature,rainfall,label
120,50,42,73.3,7.22,26.9,151.7,sugarcane
96,85,56,67.8,7.48,26.9,187.8,banana
36,37,29,64.3,6.16,25.9,112.2,mango
35,19,25,71.1,6.73,15,114.7,apple
45,34,36,66.9,7.2,26.9,138,orange
79,26,55,84.8,6.99,28.8,225.3,coconut
40,72,25,50.3,7.06,18.5,78.4,chickpea
33,69,21,63.8,6.55,19.1,116.9,kidneybeans
23,54,27,52.2,6.09,30.4,87.4,pigeonpeas
24,49,29,79.8,7.33,30.5,127.7,blackgram
28,55,22,56.1,6.44,31.1,101.6,mungbean
30,48,16,55.2,7.5,19.7,56.6,lentil
40,24,34,42.4,6.14,31.7,40.1,pomegranate
30,37,40,54.5,7.08,25.1,74.2,grapes
30,28,24,64.9,7.22,24.6,52.6,watermelon
22,24,20,58.6,6.61,29.4,84.6,muskmelon
60,38,57,89,5.51,22,153.2,coffee
67,35,42,86,7.3,32.2,236.3,jute
63,45,41,86.6,6.13,21.1,202.8,rice
11,14,18,59.5,6.9,20.2,62.7,wheat
27,67,16,64.2,6.8,26,88.5,maize
35,21,30,72.1,6.58,27.7,108.2,cotton
97,55,49,73.9,6.01,25.7,165.5,sugarcane
115,87,45,62.6,7.09,27,196.5,banana
47,31,24,57.6,5.52,33,94.2,mango
30,26,26,60.4,6.77,17.8,128.2,apple
63,26,40,69.8,6.43,19.4,137.9,orange
79,27,40,77.2,6.87,25.3,181.7,coconut
47,65,22,50.8,7.06,19.1,54.8,chickpea
31,51,30,52.9,5.92,23.3,117.5,kidneybeans
20,59,29,53.3,5.66,30.3,87.7,pigeonpeas
29,49,30,75.3,6.61,24.8,70,blackgram
19,39,15,59.8,6.04,25.2,108,mungbean
29,60,19,49.3,7.38,18.1,56.9,lentil
24,18,21,57,7.33,27.6,78.2,pomegranate
43,29,22,52.4,6.44,29,54.8,grapes
29,27,17,65.1,6.03,22.1,64.4,watermelon
39,17,29,67.4,7.36,26.4,87.9,muskmelon
63,33,44,77.5,5.3,18.9,237.7,coffee
85,44,30,73.5,7.49,25.1,194.5,jute
75,37,49,76.9,6.52,25.6,244.3,rice
14,22,11,60.4,7.12,23.2,45.5,wheat
22,57,26,70.5,6.8,26,89.6,maize
33,25,30,73.1,6.37,25.9,120.8,cotton
90,54,56,81.1,6.74,25.9,142.8,sugarcane
109,71,50,74.6,7.07,30.1,180.8,banana
21,33,40,62.8,7.39,27.1,141.7,mango
38,27,23,64.9,5.9,16.7,84.6,apple
55,38,25,69.1,6.17,22.8,109.5,orange
59,39,47,89.1,6.09,27.4,248.6,coconut
48,74,16,50.2,7.01,23.8,67.6,chickpea
22,61,29,56.1,6.33,18.4,118.6,kidneybeans
21,46,22,60.5,6.04,20.7,89.5,pigeonpeas
33,44,27,69.3,6.68,30.9,80.2,blackgram
18,55,30,73.1,6.62,33.2,96.7,mungbean
20,44,16,49.2,6.77,17.2,79.2,lentil
30,30,27,50,7.26,29.4,71.1,pomegranate
38,34,22,59.5,7.32,20.7,82.2,grapes
26,16,19,57.1,6.46,28.3,98.8,watermelon
31,30,20,51.2,6.7,26.4,86,muskmelon
100,33,50,86.5,5.99,24.6,244.7,coffee
66,32,47,73.1,7.24,27.9,158.2,jute
70,57,48,83,5.52,26.4,222.9,rice
10,16,16,54.1,7.06,20,36.8,wheat
26,57,17,67,6.65,29.8,118.8,maize
23,24,29,65.7,6.92,30.3,118.6,cotton
86,48,51,78.6,7.33,27.3,126,sugarcane
116,85,59,75,7.47,25.3,149,banana
21,28,23,58.8,6.23,31.1,96.8,mango
37,26,32,74.9,5.98,17.7,132.5,apple
65,23,33,50.6,6.11,20.5,130.8,orange
54,37,52,82,5.54,30.9,184.1,coconut
44,77,25,56.7,6.67,24.9,79.7,chickpea
25,55,26,62.7,6.23,21.1,94.1,kidneybeans
23,50,20,59.7,6.06,28.9,91.1,pigeonpeas
23,55,15,65.5,6.81,29.1,85.2,blackgram
27,50,30,72.3,7.18,32.5,96,mungbean
26,60,17,47.7,6.75,22.3,49.4,lentil
33,16,20,40.5,6.91,26,71.3,pomegranate
48,34,23,59.2,6.47,24.4,52.2,grapes
21,22,22,63.6,6.57,29.5,115.1,watermelon
20,21,21,63.9,7.26,22.5,73.7,muskmelon
70,34,60,80,5.78,23.1,248.4,coffee
80,39,43,79.8,6.75,33.1,249.9,jute
63,45,38,86.2,5.92,24.1,241.7,rice
13,12,14,53.1,6.51,15.1,44.9,wheat
29,67,24,73.9,6.38,22.4,87.9,maize
33,23,33,77.2,6.88,26.6,104.5,cotton
116,49,54,71.6,6.63,30.3,151.4,sugarcane
93,81,58,74.4,7.16,25.5,131.3,banana
46,29,21,65.4,6.09,29.1,144.1,mango
27,34,28,73.4,5.94,19.1,126.2,apple
70,24,35,52.6,6.47,24,88.1,orange
61,27,44,79.1,6.54,27.7,157.3,coconut
43,73,19,53.1,6.46,26.8,76.5,chickpea
25,53,29,55.1,5.73,24.6,73.5,kidneybeans
22,56,28,51.8,6.18,25.9,71.8,pigeonpeas
27,50,29,78.7,6.14,31.7,73.8,blackgram
28,43,28,56.8,7.06,26.7,110.3,mungbean
26,51,24,55.2,6.82,21,71,lentil
30,32,33,51.6,6.11,25.7,50.1,pomegranate
41,22,38,58.4,6.98,25.5,77.3,grapes
25,28,26,62.4,6.88,33.6,58.8,watermelon
33,20,17,67.9,7.43,33.6,70.9,muskmelon
91,21,53,88.5,5.17,21.9,228.6,coffee
80,49,35,77.6,6.96,25.1,153.9,jute
87,56,47,88.3,6.04,24.5,232.3,rice
20,24,17,64.8,7.5,18.5,42.4,wheat
35,69,25,68.6,6.06,25.7,99.8,maize
29,24,25,72.7,6.15,28.5,105.7,cotton
101,46,50,81.1,6.72,32.2,159.2,sugarcane
97,82,49,73.3,7.25,29.7,151.7,banana
35,30,26,54.5,6.55,27.9,92.8,mango
27,33,32,66.8,6.63,10.2,140.8,apple
62,34,39,58.5,6.7,26.5,97.5,orange
65,31,58,85.7,5.99,25.1,197.1,coconut
40,68,22,57.9,6.2,21.1,74.7,chickpea
21,51,20,56.8,6.01,15.8,119.2,kidneybeans
18,52,17,57.4,6.54,26.4,108.9,pigeonpeas
35,48,27,67.9,6.48,30.3,116.5,blackgram
20,49,18,55.4,6.06,30.2,67.8,mungbean
27,56,19,46.6,7.38,16.7,71.3,lentil
40,33,16,55,7.15,26.6,77.8,pomegranate
35,24,26,62.7,6.47,28.5,72.8,grapes
28,20,17,73.1,6.63,34.9,104,watermelon
30,25,19,59.8,7.38,30.1,89.1,muskmelon
76,34,59,80.7,5.31,23.4,194.9,coffee
63,31,39,85.3,6.33,24.4,186.9,jute
90,44,37,79.3,6.73,26.5,181.2,rice
29,12,16,58.2,7.3,15.2,69.2,wheat
28,67,16,71.9,5.81,24.6,98.3,maize
34,25,33,65.8,6.06,27.4,101.7,cotton
86,43,52,83.5,7.45,24.8,164.4,sugarcane
114,73,47,73.4,6.64,25.7,188.6,banana
27,39,20,57.9,5.67,28.1,75.5,mango
24,23,35,68.8,6.37,15.9,110.4,apple
52,27,21,55.8,7.32,24.3,124.2,orange
53,39,45,84,6.18,26.5,182.7,coconut
40,78,21,58.5,6.2,21.8,61.5,chickpea
17,55,18,58,6.55,20.4,113.9,kidneybeans
16,55,25,52.3,6.04,26.9,77.4,pigeonpeas
23,53,22,62,6.05,31.4,84.8,blackgram
34,36,18,59,6.37,26.4,103.8,mungbean
26,57,19,55.3,7.34,20.4,46.7,lentil
38,23,17,45.1,7.07,27,57.9,pomegranate
47,21,29,54,7.19,21.4,90.4,grapes
37,15,21,67.7,6.96,23.1,94.7,watermelon
35,20,22,69.6,6.13,22.7,94.1,muskmelon
88,35,46,70.9,6.4,21.4,203,coffee
87,47,39,71.6,7.24,26.3,194.4,jute
71,60,42,81.2,5.86,21,231.5,rice
20,10,16,58.2,6.57,19.4,33.6,wheat
39,63,28,68.9,6.76,24.4,95,maize
29,24,31,73.7,6.64,29.1,149.6,cotton
116,48,53,79.9,7.12,27.8,135.8,sugarcane
103,87,45,67.7,6.92,26.2,137.2,banana
37,38,22,64.2,6.58,27.2,136.6,mango
26,29,35,72.4,6.46,17.9,80.8,apple
58,33,31,55.3,6.63,25.8,136.6,orange
57,34,45,79.1,5.83,30.9,181.1,coconut
37,75,24,48.4,6.21,23.8,64.1,chickpea
15,58,20,52.1,6.05,20.4,78.1,kidneybeans
29,46,21,47.8,5.82,30.7,84.2,pigeonpeas
24,48,20,62.6,7.1,26.5,89.8,blackgram
19,54,24,68.3,6.08,29.3,66.5,mungbean
28,52,23,64.1,6.59,17.3,69.6,lentil
32,19,31,41,6.72,27.9,47.2,pomegranate
47,25,20,64.6,7.46,22.7,94.6,grapes
20,17,24,68.4,6.94,30,87.4,watermelon
22,23,28,54.3,6.83,25.4,44.7,muskmelon
72,27,50,85.5,5.2,25.9,216.5,coffee
64,32,50,86.3,6.95,26.6,165.1,jute
80,58,41,83.4,6.37,21.3,201.9,rice
30,24,13,56,6.11,19.5,36.8,wheat
23,50,27,66.2,6.14,25.3,81.9,maize
25,18,29,72,6.64,27.7,107.3,cotton
117,57,50,79.6,6.15,25.5,124.5,sugarcane
108,83,49,66.5,6.57,31,140.3,banana
36,36,21,69.3,7.08,27.2,72.4,mango
27,34,30,64.6,6.67,12.2,84.2,apple
56,25,27,61.8,7.2,20.4,97.5,orange
56,31,55,79.6,6.1,29.1,222.4,coconut
31,66,20,47.3,6.23,25.8,54.6,chickpea
18,53,27,60.7,5.84,22.2,71.4,kidneybeans
25,55,18,64.2,5.96,21.5,88.6,pigeonpeas
24,56,23,65.3,7.44,26.4,120.8,blackgram
28,49,30,64.4,6.9,25.2,82.1,mungbean
25,50,24,59.5,6.09,18.8,51.7,lentil
25,19,22,52.6,6.79,28.1,48.9,pomegranate
40,21,34,62.7,6.19,26.6,72.1,grapes
21,15,27,74,7,35,82.7,watermelon
33,23,24,64.7,7.45,31.2,80.5,muskmelon
68,21,42,74.3,5.04,19.7,204.8,coffee
68,49,44,72.5,7.4,33.1,157.3,jute
66,40,40,78.1,5.73,20.9,210.1,rice
25,25,10,54.8,6.76,15.5,63.3,wheat
26,57,22,63.8,6.18,29.9,99.3,maize
23,19,34,73.2,6.26,25.7,114,cotton
94,60,51,73.4,7.21,33.2,218.9,sugarcane
96,87,58,64.3,6.85,25.4,165.8,banana
30,27,22,63.3,7.39,31,125.6,mango
27,17,23,71.5,6.67,15.5,145.9,apple
68,39,40,68.9,6.92,19.3,99.6,orange
60,38,55,83.6,6.15,31.2,183.1,coconut
44,77,23,48.7,6.62,25,58.9,chickpea
17,68,30,54.5,6,24.9,91.1,kidneybeans
35,56,24,63.8,6.55,23.1,90.2,pigeonpeas
22,49,17,60.1,6.33,29.5,74.2,blackgram
28,36,17,66.7,6.01,28.9,90.8,mungbean
15,43,16,63.1,7.01,22.5,61.2,lentil
38,20,18,58.3,6.15,26.8,71.8,pomegranate
46,26,27,58.2,6.94,21.3,99.5,grapes
22,27,21,72.5,7.5,33.2,54.1,watermelon
22,22,25,51.8,6.08,22.1,90.8,muskmelon
68,26,56,78.1,5.6,25.8,185.3,coffee
62,37,47,87.1,6.87,24.2,204.9,jute
89,43,45,81.6,6.02,24.4,213,rice
15,23,11,56.8,6.44,16.4,52.2,wheat
21,50,30,74.3,6.38,22.5,102.7,maize
21,23,29,72.4,6.77,30.7,106,cotton
97,59,44,76,6.74,32.9,158.3,sugarcane
110,87,53,68.4,7.44,27.2,138.7,banana
33,39,21,69,6.95,27.3,138.4,mango
32,25,35,66.8,6.05,16,99.8,apple
42,38,20,57.6,7.21,25.7,132.7,orange
77,36,40,79.8,6.83,31,195.4,coconut
47,63,17,56.8,6.66,23.9,70.8,chickpea
15,63,19,50.7,6.31,20.6,85.7,kidneybeans
17,56,28,51.3,5.93,29.2,104.9,pigeonpeas
31,43,30,72.1,6.68,25.5,95.4,blackgram
24,54,22,59.3,7.11,29.8,73.4,mungbean
17,43,21,58.3,6.16,20.2,49.3,lentil
26,35,30,59.5,6.7,24.4,41.6,pomegranate
45,24,20,56.8,6.17,25.5,89.6,grapes
28,19,30,58.7,7.37,31.1,106.8,watermelon
39,17,22,50.3,7.16,31.3,71,muskmelon
76,36,56,70.1,6.07,24,177,coffee
76,43,38,80.6,6.5,33.4,220.6,jute
67,47,48,75.8,6.74,21.8,196.4,rice
13,10,20,59,6.41,15.8,64.4,wheat
38,66,26,66.7,6.78,23.9,99.8,maize
28,20,31,70.2,6.21,30.9,129.7,cotton
86,45,42,75.9,6.21,32.2,198.4,sugarcane
115,80,56,74.7,7.45,27.5,134.5,banana
20,36,22,51.1,5.9,27.6,116.3,mango
31,19,24,63.4,5.99,16.9,118.3,apple
64,39,39,68.4,6.55,25.9,126.9,orange
78,40,56,81.8,6.32,27,155.1,coconut
44,70,16,56,6.42,22,54.3,chickpea
19,62,24,52.8,6.59,24.9,99.2,kidneybeans
31,41,19,51.1,6.25,31,75.4,pigeonpeas
20,58,19,74.7,6.27,29.4,80.3,blackgram
28,49,26,74.5,6.44,28.2,107.5,mungbean
17,60,18,48.6,6.09,25,62.7,lentil
39,16,30,55.7,7.36,30.4,75.6,pomegranate
31,34,30,56.5,6.26,28.4,66.3,grapes
40,19,25,63.8,7.45,23.5,84.1,watermelon
28,29,23,53.7,6.95,24.6,50.6,muskmelon
60,30,48,88.4,5.94,18.4,222.7,coffee
88,36,45,71.2,6.08,33.9,235,jute
60,39,37,85.6,6.76,23.9,184,rice
17,16,12,57,7.5,18.6,41.6,wheat
33,52,28,70.4,6.22,24.2,108.8,maize
26,22,28,65.9,6.92,29.6,116.8,cotton
88,45,41,76.4,6.33,25.2,170.7,sugarcane
110,83,58,63.2,7.36,26.3,128.4,banana
48,39,35,66.7,6.82,28.6,85.7,mango
30,30,26,64.8,6.65,15.5,100.6,apple
45,26,28,69.6,6,28.6,130.7,orange
71,32,50,80,5.9,29.4,243.4,coconut
45,62,23,53.9,6.89,24.3,75.1,chickpea
20,59,24,60.2,6.21,24.4,92.7,kidneybeans
25,57,16,63.3,5.58,26.1,66.1,pigeonpeas
23,45,24,72.7,7.25,24.7,81.5,blackgram
35,43,16,67.9,6.94,25.1,117.7,mungbean
30,50,21,59.4,6.71,24.5,58.7,lentil
28,31,15,54.1,6.49,25.5,63.4,pomegranate
47,39,20,56.9,6.5,21.1,62.3,grapes
20,29,22,69.5,6.14,31.1,97,watermelon
27,24,28,66.9,6.96,33.6,99.4,muskmelon
72,38,44,74.5,5.93,22.1,189.7,coffee
86,38,41,77.5,7.42,33.7,239.9,jute
77,43,38,75.3,6.19,27.4,249.2,rice
28,23,13,62.4,7.27,23.8,50.7,wheat
21,52,22,74.6,6.79,29.5,101.1,maize
35,22,35,72,6.81,26,119.4,cotton
102,53,54,73.3,7.17,29.5,162.3,sugarcane
101,88,51,60.4,7.42,27.1,156.5,banana
29,28,34,50.2,7.23,31.5,128.6,mango
36,34,28,74.6,5.68,12.8,97.4,apple
46,22,27,53.5,6.63,25.1,83.5,orange
65,21,49,89.3,6.87,25.3,228.5,coconut
40,71,19,54.2,6.85,18.5,61,chickpea
17,65,29,62.3,5.97,24.2,72.8,kidneybeans
31,52,24,62,6.57,24.6,86.9,pigeonpeas
16,50,28,70,6.2,27.8,85,blackgram
28,37,22,73.6,6.38,25.4,90.9,mungbean
19,60,17,51.2,6.53,22.9,64.9,lentil
21,22,32,55.2,6.1,26.7,52.1,pomegranate
44,37,24,62.2,6.18,26.5,77.8,grapes
40,22,21,64.9,6.75,25.9,86.3,watermelon
24,22,16,63.4,7.39,27.8,96,muskmelon
69,36,42,70.5,5.55,23.1,220.6,coffee
77,50,40,80.9,7.45,26.6,178.2,jute
61,47,50,85.9,5.55,28,245.3,rice
14,24,13,50.8,6.54,23.1,65,wheat
28,56,20,73.8,5.85,24.9,81.7,maize
24,23,27,69.5,6.51,26.9,141.8,cotton
108,40,41,78.9,6.47,30.1,139.6,sugarcane
116,71,45,67.7,6.95,26.2,132.7,banana
22,33,31,63.3,7.18,31.8,147.5,mango
39,30,34,63.8,6.03,11.7,134.4,apple
56,39,24,63.3,7,20.9,138.8,orange
79,40,45,77.7,6.23,26,185.6,coconut
37,64,16,57.4,6.86,21.7,52.1,chickpea
35,62,23,50.1,5.59,16.3,115.4,kidneybeans
19,53,15,53.3,5.92,30.9,118.1,pigeonpeas
29,41,19,63,6.23,24.7,108.7,blackgram
22,37,26,66.5,6.42,24.7,114.7,mungbean
24,55,22,52.7,6.53,23.1,49.6,lentil
34,20,15,42.2,6.95,28,69.9,pomegranate
47,22,33,63.9,6.97,25.1,98.2,grapes
30,20,24,65.4,6.85,26.2,61.6,watermelon
21,27,22,63.4,7.25,23.4,95.9,muskmelon
68,36,52,77.9,6.49,21,188.9,coffee
72,45,43,76.1,6.81,29.2,186.6,jute
60,51,50,75.5,5.82,26.8,208.6,rice
14,19,10,64.3,6.34,23,36.4,wheat
38,55,18,64.5,5.84,29.1,84.7,maize
28,21,29,67.7,6.21,25.5,120.1,cotton
106,53,55,71,6.67,29.5,184.4,sugarcane
113,84,46,60.3,7.14,27.1,136.6,banana
20,35,24,67.4,7,31.7,101.1,mango
38,21,27,70,5.67,15.1,143.9,apple
51,34,40,57.7,6.03,29.7,119.7,orange
71,27,52,89.5,5.82,25.1,236.3,coconut
42,62,18,57.5,6.36,18.4,63.6,chickpea
33,57,26,51.8,5.61,20.6,110.9,kidneybeans
22,56,19,45.6,6.53,20.9,115.3,pigeonpeas
35,60,22,78.6,7.32,30.1,116,blackgram
33,40,30,72.7,6.7,24.2,104.4,mungbean
17,60,22,55.4,6.55,16.2,72.2,lentil
37,33,17,45.9,6.77,31.7,52.3,pomegranate
49,20,20,50.3,6.09,24.6,95.1,grapes
24,20,17,57.3,6.49,29.8,67.6,watermelon
37,23,27,53.2,6.25,25.1,93.4,muskmelon
65,33,54,88.5,6.33,24.2,152.3,coffee
69,38,40,87.1,7.18,31.2,193.8,jute
87,57,48,79.5,5.87,27.8,243.6,rice
14,17,15,60.5,6.31,18.9,40.3,wheat
36,67,25,68.2,6.02,24,103.4,maize
35,20,26,70.8,6.6,31.2,130.4,cotton
112,57,57,74.1,6.4,27.1,191.2,sugarcane
102,80,54,62.1,7.05,31.1,151.4,banana
20,37,32,63.7,5.83,33.6,94.4,mango
37,34,35,66.7,5.67,13.7,91.5,apple
63,39,31,57.3,6.43,20.1,109.3,orange
51,31,51,80.9,5.69,26.9,247.8,coconut
35,77,17,49.3,6.26,26.2,67.9,chickpea
26,60,30,57.8,6.1,19.1,109.1,kidneybeans
29,44,26,54.6,6.53,20.7,116.4,pigeonpeas
19,44,26,61.2,6.42,27.7,90,blackgram
33,48,20,69,6.32,30.4,95.9,mungbean
23,44,16,61,6.55,24.4,40.2,lentil
30,25,19,50.9,6.3,23.4,41.5,pomegranate
50,31,20,45.3,7.41,25.2,53.8,grapes
40,26,15,74.8,6.1,24.4,96.8,watermelon
34,28,26,53.3,6.66,28.8,62.9,muskmelon
71,31,59,77.5,5.82,20.3,221.7,coffee
67,31,31,73.6,6.08,28.5,197.6,jute
64,44,37,87.8,6.15,26,216,rice
27,19,20,50.1,7.28,22.1,48.8,wheat
24,58,22,71.1,5.98,26.2,96.8,maize
21,15,32,71.2,6.91,29.7,128.8,cotton
109,54,55,78,6.46,24.9,158.9,sugarcane
99,86,51,74.2,7.32,27.1,148,banana
36,32,25,65.3,5.93,30,92.8,mango
39,18,29,68.5,6.13,19.1,137.4,apple
40,24,39,63.3,6.21,22.3,111.2,orange
67,21,49,84.6,5.66,25.8,182.8,coconut
30,75,21,58.4,6.35,26.6,77.8,chickpea
28,68,15,54,6.53,20,115.3,kidneybeans
15,53,19,48.2,6.77,29.6,60.8,pigeonpeas
31,58,27,69.2,6.14,29.9,112,blackgram
29,52,19,70.6,6.55,27.5,65.4,mungbean
16,52,17,58.9,7.49,15.9,50.9,lentil
25,26,19,41.2,7.06,28.5,51.6,pomegranate
35,27,31,64.9,6.08,29.8,81.6,grapes
38,29,20,56.6,6.83,33.5,115.9,watermelon
24,25,21,54,6.12,33.1,41.8,muskmelon
71,28,54,73.4,6.05,19.3,230.4,coffee
64,40,41,85.9,6.77,32.9,204.4,jute
62,36,40,77.6,5.79,22.6,201.1,rice
25,21,18,59.9,7.49,22.9,33.5,wheat
21,52,16,66.5,6.67,26.7,106.1,maize
25,20,33,74.3,6.54,28.9,147.8,cotton
114,58,46,74.5,6.96,25.4,177,sugarcane
103,74,46,70.2,7.23,28.5,153.7,banana
29,32,30,55.5,6.56,28.7,109.3,mango
31,15,28,68.1,5.91,15.7,117.4,apple
56,31,34,66.4,6.27,22.4,139.2,orange
55,26,41,76.2,5.72,27.5,153.2,coconut
38,75,25,53.4,6.99,26.6,71.3,chickpea
34,51,18,50,6.38,21.9,69.9,kidneybeans
20,51,16,50.4,6.69,23.5,115.4,pigeonpeas
33,54,27,67.2,7.42,25.9,114.6,blackgram
24,46,29,68.1,6.15,25.3,94.5,mungbean
18,56,18,51.9,6.28,23,75.1,lentil
21,26,18,48.4,7.13,30.2,51.8,pomegranate
40,32,31,58,7.24,21.1,66,grapes
40,25,23,69.1,6.27,32.8,73.7,watermelon
23,20,28,54.6,6.04,22.3,56.6,muskmelon
84,38,56,88.9,5.35,21.2,221.7,coffee
72,49,40,79.6,6.15,30.9,235.6,jute
82,42,48,77,6.7,21.3,235.9,rice
24,21,17,50.4,7.28,19.9,57.1,wheat
25,50,15,64.6,6.52,28,89.9,maize
26,20,34,66.2,6.27,30.9,144.8,cotton
106,54,48,71.3,6.97,28.6,126.8,sugarcane
99,89,47,73.4,7.03,31.3,153.3,banana
38,21,38,55.1,6.01,34.7,71.3,mango
35,28,22,70.7,6.55,19.7,102.1,apple
66,37,24,57.1,7.13,21.2,121.3,orange
69,23,41,70.7,5.54,26.4,162.5,coconut
35,77,17,59.4,6.41,27.4,78.1,chickpea
32,52,22,50.3,6.76,24.5,112.9,kidneybeans
20,53,16,47.7,6.19,31.4,80,pigeonpeas
34,60,23,69,6.73,25.1,105.3,blackgram
34,42,24,68.1,6.41,31.5,78.9,mungbean
28,47,21,60.9,6.96,15.6,47.4,lentil
31,25,34,50.8,6.42,26.7,54.3,pomegranate
35,36,24,62.5,7.11,29.7,72.3,grapes
27,30,20,57.9,6.33,33.8,64.7,watermelon
29,25,24,59.8,6.14,26.6,43.7,muskmelon
62,23,59,75.3,5.38,19.6,247.7,coffee
83,38,49,81.6,6.51,30.3,223.7,jute
65,35,46,75.1,5.95,22.2,184.4,rice
15,14,15,57.4,6.72,24.9,42.3,wheat
23,52,15,71.6,6.66,26.5,104.3,maize
24,21,29,75.4,6.87,25.7,101.4,cotton
114,60,55,83.3,6.4,33.3,195.5,sugarcane
118,80,57,60.3,6.62,31.3,138.4,banana
37,40,33,52.5,6.71,29.2,97.8,mango
27,27,23,66.1,5.66,16.2,111.2,apple
48,27,30,68.7,7.48,20.4,119.7,orange
58,32,54,87.4,6.61,25.8,233.4,coconut
37,72,15,54.9,7.15,24.6,67.3,chickpea
30,60,27,63.8,5.87,18.8,70.1,kidneybeans
34,42,19,47,5.64,29.5,75.5,pigeonpeas
35,57,17,75.1,6.33,26.3,126.5,blackgram
26,36,29,57.5,6.35,30.9,84.6,mungbean
19,44,21,60,6.13,23.8,61.7,lentil
34,26,19,48.1,6.08,31.3,59.2,pomegranate
41,29,34,56.9,7.17,29.4,99.9,grapes
32,24,24,60.1,6.58,25.2,57.9,watermelon
23,28,24,55.7,6.4,26.8,91.4,muskmelon
83,37,50,76.4,5.15,18.4,231.8,coffee
69,48,35,82.2,6.25,31.6,197.7,jute
91,50,39,81.3,5.8,27.1,220.5,rice
11,17,12,56.4,7.05,21,52.5,wheat
31,61,20,73.7,6.11,27.4,84,maize
22,20,25,70.8,6.39,30.8,105,cotton
89,51,60,70.3,6.13,24.2,201.8,sugarcane
108,70,57,64.2,6.68,28.1,137.3,banana
44,37,36,52.3,5.85,29.6,98.2,mango
31,32,26,69.6,6.25,10.1,80.7,apple
42,23,24,51.1,6.38,29.7,138.4,orange
55,37,48,84.2,6.16,28.4,194.2,coconut
32,75,22,55.4,6.82,21,50.1,chickpea
34,62,24,58.3,5.73,24.6,61.9,kidneybeans
22,55,30,54.3,6.46,27.7,93.5,pigeonpeas
21,53,19,64.9,6.03,29.7,124.7,blackgram
21,42,15,73.5,6.19,24.5,103.6,mungbean
26,58,21,48.2,6.19,19.3,64.1,lentil
35,34,28,52.5,6.39,28.7,79.6,pomegranate
36,30,30,64.2,6.3,23.7,50.5,grapes
31,24,18,62.3,6.37,34.2,67.5,watermelon
36,17,17,58.1,7.46,26.4,65.3,muskmelon
91,27,53,70.2,5.26,18.9,241.5,coffee
87,44,41,76.1,7.05,32.4,206.1,jute
68,60,40,86.5,5.63,22.2,221.9,rice
13,23,19,52.4,6.02,23.9,42,wheat
28,67,21,74.7,6.24,23.1,102.8,maize
27,22,29,72.6,6.76,27.9,142.9,cotton
120,52,49,74.2,6.09,29.4,123.2,sugarcane
99,85,47,61.5,6.77,25.3,133,banana
46,38,32,56.9,6.04,25.3,149.8,mango
39,29,31,71.1,6.3,16.6,122,apple
50,24,33,61.8,6.94,22.6,113.9,orange
75,37,56,74.1,5.5,29.4,182.7,coconut
49,66,16,46.4,6.76,19,55,chickpea
16,57,16,55.8,5.93,19.8,78.9,kidneybeans
26,44,28,51.1,6.19,31.6,107.2,pigeonpeas
28,46,22,74.5,6.04,29.6,117.4,blackgram
35,38,29,64.2,6.32,31.1,82.3,mungbean
29,45,22,54.4,6.93,20.3,77.9,lentil
29,32,25,53.7,6.61,22.7,65.4,pomegranate
45,39,28,46.1,6.75,29.8,76.2,grapes
30,18,17,61,7.36,23.7,76.7,watermelon
22,29,15,69,6.89,26.2,72.5,muskmelon
63,28,55,87.5,5.5,24.3,204.5,coffee
61,43,42,84.1,6.18,30.1,207,jute
68,53,46,78.1,5.52,24.4,234.5,rice
14,16,14,58.7,7.24,19.3,50.2,wheat
36,50,23,72.4,6.31,27.4,85.5,maize
23,21,25,71.1,6.61,25.1,120.1,cotton
92,49,57,72.2,6.6,34,130.1,sugarcane
105,80,58,72.4,7.48,27.2,122.6,banana
29,20,36,63.8,6.72,27.4,70.8,mango
33,32,22,66.5,6.29,16.8,148,apple
52,37,22,64.2,6.75,19.3,115.2,orange
59,38,42,70,6.54,25.8,234.5,coconut
35,77,17,59.8,6.53,23.7,71.2,chickpea
21,65,19,62.1,5.65,17.9,100.8,kidneybeans
35,48,17,56.3,5.57,25.7,97,pigeonpeas
25,47,22,67,6.11,28.6,121.4,blackgram
34,50,22,66.9,6.85,26.7,95.2,mungbean
20,50,19,45.2,6.44,19.9,46.3,lentil
32,19,21,56.1,6.25,31.5,69.9,pomegranate
47,27,20,54.3,7.09,20.3,67.2,grapes
22,21,23,64.4,6.94,29.3,56.6,watermelon
27,16,30,56.3,6.88,24,91,muskmelon
99,39,51,77.4,5.6,20,176.3,coffee
77,40,39,89.3,6.77,30.6,187.5,jute
100,60,38,78.2,6.55,22.9,222.6,rice
26,15,16,61.7,7.41,21.9,66.7,wheat
37,55,30,65.3,6.4,23.3,113.5,maize
28,24,32,67,6.5,32,137.8,cotton
110,58,44,75,6.02,34,183.4,sugarcane
102,80,56,62.6,7.03,26.9,186.4,banana
36,23,24,57.7,6.03,27.1,81.9,mango
20,28,27,61.2,5.59,15,135.5,apple
52,33,31,56.5,6.05,24.6,111.5,orange
68,27,42,82.2,6.39,28,158.4,coconut
49,72,18,57.2,6.55,23.7,71.2,chickpea
33,55,20,52.2,6.43,18.6,102.1,kidneybeans
22,52,26,54.3,6.98,24.4,98.9,pigeonpeas
21,43,20,60.9,6.47,25.2,104.1,blackgram
